stage,topic,level,question,option_a,option_b,option_c,option_d,correct_option,explanation,question_type,question_order
2,Investing & Wealth,1,What are smart beta strategies and how do they differ from both passive indexing and active management?,"Smart beta uses rules-based alternative index weighting (by value, momentum, quality, etc.) aiming to capture factor premiums at lower cost than active management",Smart beta is a fully discretionary stock-picking approach guided by quantitative screens,Smart beta is another name for market-cap-weighted passive indexing with lower fees,Smart beta replicates hedge fund strategies in a mutual fund structure with daily liquidity,A,"Smart beta sits between passive (pure market-cap) and active (discretionary stock picking). It systematically tilts toward factor premiums identified in academic research — transparent, rules-based, and lower cost than active funds.",core,4
2,Investing & Wealth,1,"What is the difference between WACC and cost of equity, and how is each used in valuation?",WACC is the blended after-tax cost of all capital (debt + equity); cost of equity (via CAPM) is the return equity holders require — WACC is the discount rate for firm-level DCF; cost of equity for equity-only valuation,WACC applies only to leveraged buyouts; cost of equity applies to publicly traded companies,Cost of equity includes dividends; WACC excludes dividends and uses only interest payments,WACC is always lower than cost of equity due to the equity risk premium in all market conditions,A,"WACC = (E/V)×Ke + (D/V)×Kd×(1−tax). Interest is tax-deductible, making debt cheaper after-tax. Discount free cash flows to firm (FCFF) at WACC; discount free cash flows to equity (FCFE) at cost of equity.",core,4
2,Investing & Wealth,1,What is the Grossman-Stiglitz paradox and what does it imply for the EMH?,"If markets were perfectly efficient, there would be no return to gathering information — so investors would stop, prices would cease to reflect information, creating a contradiction; equilibrium requires some inefficiency",The paradox states that all market participants are rational yet markets are irrational at the aggregate,It proves that technical analysis is consistently profitable in semi-strong form efficient markets,The paradox shows that transaction costs alone fully explain all deviations from market efficiency,A,Grossman & Stiglitz (1980) showed that information efficiency requires a slight inefficiency as compensation. Markets exist in an 'equilibrium of partial efficiency' where informed traders earn just enough to justify their information costs.,core,4
2,Investing & Wealth,1,What is portfolio rebalancing and why is it important for maintaining your risk profile?,"Rebalancing restores your target asset allocation after market drift, preventing unintended risk level changes",Rebalancing means selling all assets and reinvesting in the best-performing sector,"Rebalancing only refers to adjusting bonds in a portfolio, not equities",Rebalancing is only necessary during bear markets to reduce losses,A,"If stocks surge and grow from 60% to 75% of your portfolio, you're now taking more risk than intended. Rebalancing sells equities and buys bonds to return to 60/40, enforcing 'sell high, buy low' discipline.",core,5
2,Investing & Wealth,1,What is the difference between duration and convexity for a bond portfolio?,"Duration measures linear price sensitivity to rate changes; convexity measures the curvature (non-linearity), improving duration's accuracy for large rate moves",Duration measures credit risk; convexity measures interest rate risk,Duration applies to corporate bonds; convexity only applies to government bonds,Both measure the same interest rate risk but over different time horizons,A,Approximate price change = −Duration × Δy + ½ × Convexity × (Δy)². Positive convexity means a bond gains more when rates fall than it loses when rates rise — a desirable characteristic.,core,5
2,Investing & Wealth,1,"What is the yield curve and what does each shape (normal, flat, inverted) signal about the economy?",A plot of bond yields across maturities; normal (upward sloping) = growth expected; flat = slowdown; inverted (short > long) = recession historically likely,A curve showing stock dividend yields by sector; inverted means bonds outperform stocks,A chart of central bank rate decisions over time; flattening signals rate stability,A plot of credit spreads by maturity; normal means corporate bonds are fairly priced,A,"The 2-year/10-year inversion has preceded every US recession since 1955. When short-term rates exceed long-term rates, markets expect future rate cuts due to economic weakness — the Fed is 'behind the curve.'",core,5
2,Investing & Wealth,1,What is the Kelly Criterion and how is it used for optimal position sizing?,"Kelly fraction = (bp − q) / b, where b = odds, p = win probability, q = loss probability; it maximizes long-run geometric growth rate but can require extreme position sizes",Kelly Criterion determines the optimal rebalancing frequency for a diversified portfolio,Kelly Criterion is a tax optimization formula for harvesting losses in taxable accounts,"Kelly fraction equals the expected return divided by standard deviation, recommending leverage accordingly",A,Full Kelly maximizes expected log(wealth) but recommends very concentrated bets. Most practitioners use 'half Kelly' or 'quarter Kelly' to reduce volatility while capturing most of the long-run growth advantage.,core,5
2,Investing & Wealth,1,What is the risk-neutral pricing framework and how does it underpin derivatives valuation?,"Under risk-neutral measure Q, all assets grow at the risk-free rate and derivatives are priced as expected discounted payoffs — enabling consistent arbitrage-free pricing without estimating real-world drift","Risk-neutral pricing assumes all investors are indifferent to risk, making it only applicable to government bonds","The risk-neutral measure adjusts expected returns by each asset's beta, connecting CAPM to derivatives pricing",Risk-neutral pricing applies only to European options; American options require real-world probability measures,A,"The key insight (Harrison & Kreps, 1979): if no arbitrage exists, a risk-neutral measure Q exists under which discounted asset prices are martingales. You don't need to know the real drift (μ) to price derivatives — only volatility and the risk-free rate.",core,5
2,Investing & Wealth,1,What is the difference between value investing and growth investing?,Value investing seeks underpriced stocks relative to fundamentals; growth investing seeks companies with above-average future earnings potential,Value investing focuses on short-term price momentum; growth investing focuses on dividends,Value investing only applies to large-cap stocks; growth investing only applies to technology stocks,Value investing requires buying at 52-week lows; growth investing requires buying at 52-week highs,A,"Buffett-style value investors look for P/E below intrinsic worth with a 'margin of safety.' Growth investors (e.g., ARKK-style) accept premium valuations expecting future earnings to justify the price.",reinforcement,6
2,Investing & Wealth,1,What is a leveraged buyout (LBO) and what makes the return profile attractive to private equity?,Acquiring a company using mostly debt (often 60–80% of purchase price) with returns amplified because PE invested limited equity but controls the full asset,"Buying a company by issuing new stock to the target's shareholders, avoiding cash outlay","Acquiring a company through a hostile tender offer above market price, financed by the acquirer's balance sheet",A buyout where employees purchase the company from founders using pension fund assets,A,"If a PE firm buys a company for $500M with $100M equity / $400M debt, a 20% value increase to $600M doubles the equity to $200M — a 100% return on equity. Leverage amplifies gains (and losses).",reinforcement,6
2,Investing & Wealth,1,What is a convertible bond and how does it create a hybrid risk-return profile?,"A bond convertible into stock at a preset ratio; downside is limited by bond floor (par + coupons), upside participates in equity gains if the stock price exceeds the conversion price",A bond with a variable coupon rate that converts to a fixed rate after 5 years,A corporate bond that automatically converts to a government bond in case of default,A preferred stock that converts to common stock after the IPO lock-up period expires,A,Convertibles offer 'bond floor + equity call option.' Companies use them for cheaper financing (lower coupon vs. straight debt). Investors accept lower yield in exchange for equity upside — ideal for risk-constrained equity exposure.,reinforcement,6
2,Investing & Wealth,1,"What is the difference between accounting profit and economic profit, and why does economic profit matter for investment decisions?",Accounting profit subtracts explicit costs; economic profit also subtracts opportunity cost of capital — a firm can be profitable yet destroy economic value if returns fall below cost of capital,Accounting profit uses GAAP; economic profit uses IFRS — they differ only in depreciation methods,Economic profit equals accounting profit adjusted for inflation; both are useful for comparing firms,A firm with positive accounting profit always creates economic value for shareholders,A,Economic Value Added (EVA) = NOPAT − (WACC × Invested Capital). A firm earning 8% ROIC with 12% WACC destroys value despite positive accounting profits — a key insight for capital allocation decisions.,reinforcement,6
2,Investing & Wealth,1,What is the two-fund separation theorem and what does it imply for investor portfolio construction?,"All investors hold a combination of the risk-free asset and the same risky tangency portfolio — individual risk preferences only determine the split, not which risky assets to hold",All investors should split equally between domestic and international equities regardless of risk tolerance,The theorem states that two uncorrelated assets are sufficient to build any efficient portfolio,All rational investors hold 60% equities and 40% bonds as the universal optimal allocation,A,Tobin's two-fund separation (1958) has a powerful implication: the composition of the optimal risky portfolio is identical for all investors. This supports index funds — the market portfolio is the tangency portfolio under CAPM assumptions.,reinforcement,6
2,Investing & Wealth,1,What is dollar-cost averaging and how does it benefit long-term investors behaviorally and mathematically?,"Investing a fixed dollar amount at regular intervals regardless of price, reducing average cost per share over time and removing market timing temptation",Investing a fixed number of shares monthly regardless of price to maximize share count,Automatically rebalancing your portfolio monthly to maintain target allocation,Diversifying across multiple asset classes equally to minimize volatility,A,DCA means you buy more shares when prices are low and fewer when high. It removes the impossible task of timing markets and protects against investing a lump sum at a market peak.,reinforcement,7
2,Investing & Wealth,1,What is value at risk (VaR) and what are its primary limitations as a risk measure?,VaR estimates maximum loss over a period at a confidence level; limitations include not measuring tail losses beyond the threshold and assuming normal distributions,VaR guarantees the portfolio will not lose more than the stated amount under any scenario,"VaR measures average losses across all market conditions, making it ideal for stress testing",VaR only applies to single-asset portfolios; multi-asset VaR requires different methodology,A,'95% VaR = $1M' means you expect to lose ≤$1M on 95% of days. The critical flaw: VaR tells you nothing about the severity of losses on the other 5% of days — precisely when it matters most. CVaR/Expected Shortfall addresses this.,reinforcement,7
2,Investing & Wealth,1,"What is the difference between intrinsic value and market price, and how does the margin of safety concept use this gap?",Intrinsic value is the fundamental discounted cash flow value; margin of safety = buying only when market price is significantly below intrinsic value to protect against estimation error,Intrinsic value equals the book value on the balance sheet; margin of safety is the gap between book and liquidation value,Intrinsic value is the 52-week high price; margin of safety requires buying at least 10% below the high,Intrinsic value is only calculable for profitable companies; unprofitable firms have zero intrinsic value,A,"Graham's margin of safety: if you estimate a stock is worth $100 but buy only at $70, you have a 30% cushion against valuation mistakes. Buffett calls it 'the three most important words in investing.'",reinforcement,7
2,Investing & Wealth,1,What is gamma in options trading and how does it affect delta hedging strategies?,"Gamma is the rate of change of delta with respect to the underlying price; high gamma means delta changes rapidly, requiring frequent rehedging — most acute near expiry for at-the-money options","Gamma measures the time decay of an options premium, equivalent to theta for short-dated options",Gamma is the sensitivity of options price to changes in implied volatility,"Gamma measures the ratio of put to call volume, indicating market sentiment direction",A,"A market maker delta-hedging a long gamma position profits from realized volatility exceeding implied volatility. Short gamma (e.g., options sellers) collect premium but face accelerating losses if the underlying moves sharply.",reinforcement,7
2,Investing & Wealth,1,What is the difference between physical and risk-neutral measure in stochastic processes for asset pricing?,Physical measure P describes actual observed dynamics with real drift; risk-neutral measure Q adjusts drift to the risk-free rate for arbitrage-free pricing — connected by the Girsanov theorem via market price of risk,Physical measure uses historical data; risk-neutral measure uses forward-looking analyst forecasts,Both measures are equivalent for pricing purposes; the distinction only matters for simulation,Physical measure applies to spot markets; risk-neutral applies only to futures and forward contracts,A,Under P: dS = μS dt + σS dW. Under Q: dS = rS dt + σS dW̃. Girsanov's theorem provides the Radon-Nikodym derivative connecting them via the market price of risk λ = (μ−r)/σ. Risk management uses P; derivatives pricing uses Q.,reinforcement,7
2,Investing & Wealth,1,What is a REIT and what distribution requirement gives it special tax status?,A company owning income-producing real estate that must distribute at least 90% of taxable income as dividends to qualify for pass-through tax treatment,A mutual fund exclusively investing in real estate stocks with no distribution requirements,A government-backed mortgage lending institution distributing 50% of profits,A real estate limited partnership that distributes 100% of rental income to partners,A,REITs avoid corporate-level taxation by distributing 90%+ of income. Investors receive high dividend yields but pay ordinary income tax on most REIT dividends (unlike qualified stock dividends taxed at capital gains rates).,reinforcement,8
2,Investing & Wealth,1,What is the Gordon Growth Model and what are its key assumptions and limitations?,Stock Value = D1 / (r − g); assumes constant dividend growth forever and r > g; breaks down for high-growth or non-dividend-paying companies,Stock Value = EPS × P/E ratio; assumes stable earnings multiples over time,Stock Value = Book Value × Price-to-Book; assumes assets are correctly valued on the balance sheet,Stock Value = Free Cash Flow / WACC; assumes constant free cash flow margins indefinitely,A,"The GGM works well for mature, stable dividend payers (utilities, consumer staples). It fails for high-growth firms (g approaches r, value → infinity) or firms reinvesting all earnings without paying dividends.",reinforcement,8
2,Investing & Wealth,1,What is volatility clustering and which financial models are designed to capture it?,Large returns (of either sign) cluster together in time; ARCH and GARCH models capture this by making volatility depend on past squared returns,High-volatility assets always cluster in specific sectors like technology and biotech,Volatility clustering refers to options implied volatility being higher than realized volatility,Clustering describes how momentum stocks tend to outperform during volatile market periods,A,Calm periods are followed by calm periods; turbulent periods by turbulence. Engle's ARCH (1982) and Bollerslev's GARCH (1986) model this by estimating conditional variance as a function of past residuals and variances.,reinforcement,8
2,Investing & Wealth,1,"What is the difference between momentum and mean reversion as investment strategies, and over what time horizons does each tend to work?","Momentum (buying winners, selling losers) tends to work over 1–12 months; mean reversion (buying losers expecting rebound) tends to work over very short (intraday) and very long (3–5 year) horizons",Momentum works over 3–5 years; mean reversion works over 1–12 months,Both strategies work equally well at all time horizons in efficient markets,Momentum only works in bull markets; mean reversion only works during bear markets,A,Jegadeesh & Titman (1993) documented 12-month momentum premium. DeBondt & Thaler (1985) showed 3–5 year reversal. These seemingly contradictory results coexist because different psychological biases operate at different horizons.,reinforcement,8
2,Investing & Wealth,1,What is the carry trade in foreign exchange and what risks make it periodically catastrophic?,Borrowing in low-interest-rate currencies to invest in high-interest-rate currencies; risks include sudden exchange rate reversals ('carry crash') amplified by crowded positions and leverage,Carrying physical currency across borders for tax arbitrage in offshore accounts,Holding long-dated bonds to earn the yield curve's term premium with no currency exposure,Borrowing in high-yield currencies to buy low-yield bonds for total return maximization,A,"The carry trade earns the interest differential but is exposed to exchange rate risk. Empirically, it 'goes up the stairs and comes down the elevator' — steady gains punctuated by sudden, severe unwinds when risk sentiment reverses.",reinforcement,8
3,"Debt, Taxes & Planning",1,What is the difference between the debt avalanche and debt snowball repayment methods?,Avalanche pays highest-interest debt first (minimizes total interest); snowball pays smallest balance first (maximizes psychological momentum),Avalanche consolidates all debts; snowball makes only minimum payments on all debts,Avalanche applies only to student loans; snowball only to credit card debt,Both methods are mathematically identical and produce the same total interest paid,A,Avalanche is mathematically optimal — saving hundreds or thousands in interest. Snowball is behaviorally optimal for those who need quick wins to stay motivated. Behavioral economists often favor snowball for its completion psychology.,core,1
3,"Debt, Taxes & Planning",1,What is the wash-sale rule and what are its key provisions for tax-loss harvesting strategies?,Disallows a tax loss if you buy a 'substantially identical' security within 30 days before or after the sale; the disallowed loss is added to the basis of the new position,Prohibits selling any security at a loss more than twice per year in the same account,Requires repurchasing the same security within 30 days after a loss sale to preserve tax benefits,"Applies only to mutual fund sales, not individual stock transactions",A,The 61-day window (30 before + day of sale + 30 after) is the trap. The disallowed loss doesn't disappear — it's deferred by adding to the cost basis of the replacement security. Cross-account wash sales (including IRAs) also trigger the rule.,core,1
3,"Debt, Taxes & Planning",1,What is a Grantor Retained Annuity Trust (GRAT) and how does the 'zeroed-out' strategy work?,"A trust where the grantor retains annuity payments; a zeroed-out GRAT sets the annuity to return the exact present value at the §7520 hurdle rate, so any appreciation above the rate passes to heirs gift-tax free","A trust that distributes all assets to charity, eliminating estate taxes entirely for the grantor",A trust converting capital gains to ordinary income through annuity payments for tax reduction,A trust requiring equal distributions to all beneficiaries while the grantor retains principal control,A,"If a stock grows at 20% vs. a 5% hurdle rate, the excess 15% annual appreciation passes to remaindermen with no gift tax. Walton GRATs (2-year terms) are common because they allow repeated 'rolling' attempts — a failed GRAT simply returns assets to the grantor.",core,1
3,"Debt, Taxes & Planning",1,What is a split-dollar life insurance arrangement and how is it used in executive compensation?,"An arrangement splitting premium costs and policy benefits between employer and employee; the employer funds most premiums and recovers its outlay at death/termination, with the employee receiving the remaining death benefit",A policy splitting death benefits equally between two named beneficiaries,A corporate-owned life insurance (COLI) policy with no economic benefit to the employee,A reinsurance arrangement splitting risk between an insurer and a multinational employer,A,"Endorsement method: employer owns the policy and endorses a benefit to the employee. Collateral assignment method: employee owns the policy, assigns collateral interest to the employer. Post-2003 IRS regulations require economic benefit or loan regime taxation.",core,1
3,"Debt, Taxes & Planning",1,What is the economic substance doctrine and how does the IRS use it to challenge aggressive tax planning?,The doctrine requires transactions to have both objective economic substance (change in economic position) and subjective business purpose beyond tax benefits; transactions failing either prong can be disregarded by the IRS,Economic substance requires all business transactions to be documented with written agreements,The doctrine only applies to transactions involving offshore entities in tax haven jurisdictions,Economic substance is a safe harbor that protects any transaction with a business purpose from IRS scrutiny,A,"Codified in IRC §7701(o) by the ACA (2010), economic substance denials carry a 20–40% strict-liability penalty with no reasonable cause exception. Transactions like certain sale-leasebacks, straddles, or shelter arrangements have been challenged and disallowed.",core,1
3,"Debt, Taxes & Planning",1,What is amortization and how does the payment structure of a fixed mortgage change over time?,"Amortization is gradual debt repayment through scheduled payments; early payments are mostly interest, while later payments are mostly principal",Amortization is a method of depreciating business assets for tax purposes,"In a fixed mortgage, each payment applies equal amounts to principal and interest throughout the term","Amortization only applies to adjustable-rate mortgages, not fixed-rate ones",A,"In year 1 of a 30-year mortgage, ~80% of each payment is interest. By year 25, ~80% is principal. This is why extra early payments dramatically reduce total interest and payoff time.",core,2
3,"Debt, Taxes & Planning",1,What is the alternative minimum tax (AMT) and which common deductions does it specifically disallow?,"AMT is a parallel tax system with its own rates and exemptions that disallows deductions like state/local taxes, standard deduction, and certain ISO stock option spreads",AMT is a surtax only applying to capital gains and qualified dividends above $500K,"AMT replaces the regular tax for all taxpayers earning above $200K, applying a flat 28% rate",AMT disallows the mortgage interest deduction and charitable contribution deductions only,A,"AMT income (AMTI) adds back SALT deductions (the biggest trigger), standard deduction, and the spread on ISOs. AMT rates are 26%/28%. You pay the higher of regular or AMT liability — a key planning consideration for high earners in high-tax states.",core,2
3,"Debt, Taxes & Planning",1,What is the qualified business income (QBI) deduction under Section 199A and what income limits restrict it?,Up to 20% deduction on qualified business income for pass-through entities; phases out for specified service businesses (SSTB) between $182K–$232K (single) / $364K–$464K (married) in 2024,A 20% deduction available to all businesses regardless of structure or income level,"A deduction equal to 20% of W-2 wages paid by the business, available only to C-corporations","A deduction capped at $10,000 for self-employed individuals regardless of business income",A,"SSTBs (law, medicine, consulting, financial services) lose the deduction above the income phase-out. Non-SSTBs face W-2 wage and capital limitations above those thresholds instead. This makes QBI planning complex for high-income professionals.",core,2
3,"Debt, Taxes & Planning",1,What is a qualified opportunity fund (QOF) and how do the three tiers of tax benefits work over a 10-year hold?,"A QOF invests in opportunity zones; tier 1 defers original gains until 2026, tier 2 provides partial step-up at 5 years, tier 3 eliminates QOF appreciation entirely if held 10+ years",A QOF provides immediate capital gains exclusion upon investment with no holding period requirement,"Tier benefits are: 1) tax credit, 2) interest deduction, 3) state tax exemption for 10-year holds",QOF benefits require congressional renewal and are not guaranteed beyond the initial investment year,A,"The three-tier structure creates a 'Goldilocks' incentive. The 10-year benefit is most powerful: a $1M gain invested in a QOF that grows to $3M means only the original $1M is eventually taxed (in 2026), and the $2M appreciation is permanently excluded.",core,2
3,"Debt, Taxes & Planning",1,What is a SPAC (Special Purpose Acquisition Company) and how do the tax and structural mechanics work for sponsors vs. public investors?,"A blank check company raising capital through IPO to acquire a private company; sponsors receive 20% 'founder shares' for minimal capital as compensation, while public investors hold warrants and trust-protected units",A SPAC is a mutual fund structure that acquires private equity positions using public market capital,Sponsors and public investors receive identical economics; SPACs differ only in acquisition timeline,A SPAC is a reverse merger structure where the private company's shareholders receive no consideration,A,SPAC mechanics: IPO raises capital at $10/unit (share + warrant). Capital held in trust. Sponsor's 20% promote is essentially free equity — highly dilutive. Public investors can redeem at trust value if they dislike the deal. Tax: SPAC formation is tax-free; the de-SPAC merger can be taxable depending on structure.,core,2
3,"Debt, Taxes & Planning",1,What is a debt-to-income (DTI) ratio and why is 43% a critical threshold for mortgage qualification?,DTI = monthly debt payments ÷ gross monthly income; 43% is the maximum for most qualified mortgage standards and lenders,DTI = total assets ÷ total liabilities; 43% means you're financially healthy,DTI = annual debt ÷ net income; lenders prefer above 43% to show you have significant credit experience,DTI = credit card balance ÷ credit limit; 43% utilization is the ideal target,A,Consumer Financial Protection Bureau (CFPB) qualified mortgage rules cap DTI at 43%. Below 36% is considered healthy. High DTI signals overextension — lenders fear you can't absorb financial shocks while maintaining payments.,core,3
3,"Debt, Taxes & Planning",1,What is the gift tax annual exclusion and how do married couples use gift splitting to double it?,"Each person can give $18,000/year (2024) per recipient tax-free; gift splitting allows married couples to jointly give $36,000 per recipient by electing on a tax return",Married couples can give unlimited amounts tax-free using their combined lifetime exemption,"The annual exclusion is $18,000 total across all recipients, not per recipient",Gift splitting requires both spouses to file separate tax returns to claim the combined exclusion,A,"Gift splitting requires filing Form 709 even if no gift tax is owed. Strategic use over time can transfer significant wealth (e.g., $36K annually to each of three children = $108K/year) without using any lifetime exemption.",core,3
3,"Debt, Taxes & Planning",1,What is a dynasty trust and how does it exploit the generation-skipping transfer (GST) tax exemption?,A perpetual (or multi-generational) trust sheltering assets from estate tax at each generation by using the GST exemption ($13.61M in 2024) to transfer wealth directly to grandchildren and beyond,"A trust that automatically terminates upon the death of each generation, re-transferring assets",A trust providing equal distributions to all living relatives regardless of generation,A charitable trust that exempts assets from all transfer taxes for 100 years,A,"Without a dynasty trust, each generational transfer faces estate tax (up to 40%). A properly structured dynasty trust can allow $13.61M to compound for 100+ years tax-free at the transfer level — potentially worth hundreds of millions to future generations.",core,3
3,"Debt, Taxes & Planning",1,What is the tax treatment of phantom income in partnership investments and how does it affect cash flow planning?,Phantom income is taxable income allocated to partners without corresponding cash distributions — partners owe tax on their share of partnership income even if the partnership retains cash,Phantom income is non-taxable imputed income from employer benefits like health insurance,"Phantom income refers to unrealized capital gains in a partnership, taxed only upon exit",Phantom income is income allocated to limited partners only during liquidation events,A,A real estate partnership might show $100K taxable income (after depreciation is exhausted) while distributing nothing — leaving partners with a cash tax bill on paper income. Planning requires modeling K-1 income vs. actual distributions carefully.,core,3
3,"Debt, Taxes & Planning",1,"What is the distinction between tax avoidance, tax evasion, and tax mitigation, and where does aggressive planning fall?",Evasion is illegal concealment; avoidance is legal use of rules to reduce tax; mitigation involves structuring transactions within legislative intent; aggressive planning exploits loopholes and may be challenged under anti-avoidance doctrines,Tax avoidance and tax evasion are legally equivalent; only the amount determines whether criminal charges apply,Tax mitigation refers to filing extensions; avoidance applies to offshore structures only,All tax reduction strategies constitute evasion unless pre-approved by the IRS through a private ruling,A,"The line between avoidance (legal) and aggressive planning (potentially challengeable) is often litigated. Doctrines like economic substance, business purpose, step-transaction, and substance-over-form give the IRS tools to recharacterize transactions that technically comply with the letter but not spirit of the law.",core,3
3,"Debt, Taxes & Planning",1,What is a HELOC and what are the key risks compared to a traditional second mortgage?,A HELOC is a revolving line of credit secured by home equity with variable rates; risks include rate hikes increasing payments and using the home as collateral for potentially discretionary spending,A HELOC is a fixed-rate second mortgage disbursed as a lump sum with predictable payments,A HELOC provides unsecured credit up to 80% of home value without affecting the primary mortgage,A HELOC has no variable rate risk because the draw period locks the initial rate permanently,A,HELOCs have a draw period (interest only) and repayment period (principal + interest). Rising rates can cause payment shock in the repayment phase. Borrowing against home equity for consumption creates the risk of losing your home over lifestyle spending.,core,4
3,"Debt, Taxes & Planning",1,What is a 1031 exchange and what are the specific identification and closing deadlines?,Tax-deferred reinvestment of real estate sale proceeds into like-kind property; must identify replacement within 45 days and close within 180 days of the original sale,A tax-free exchange of any investment asset; 30 days to identify and 120 days to close,A stock exchange provision allowing deferred capital gains when switching between mutual fund families,A tax deferral for primary residence sales requiring a 2-year reinvestment window,A,1031 applies only to real estate held for investment or business use (not primary residences). The qualified intermediary holds proceeds between transactions. Missing either deadline triggers full capital gains recognition in the year of sale.,core,4
3,"Debt, Taxes & Planning",1,What is a charitable remainder trust (CRT) and what are the four simultaneous benefits it can provide?,"A CRT provides income to the donor (or beneficiaries), avoids immediate capital gains tax on appreciated assets, generates a partial charitable deduction, and ultimately benefits the chosen charity",A CRT provides full income tax exemption in exchange for donating 100% of assets to charity,"A CRT converts capital gains income to ordinary income, increasing the charitable deduction size","A CRT is only available to nonprofits and foundations, not individual donors",A,"Example: Donate $1M of low-basis stock to a CRT. No immediate capital gains. Receive $60K/year income stream. Claim ~$300K charitable deduction (present value). Charity receives remaining assets at termination. Four wins: income, gain deferral, deduction, charitable intent.",core,4
3,"Debt, Taxes & Planning",1,What is the tax treatment of incentive stock options (ISOs) vs. non-qualified stock options (NSOs)?,ISO exercise triggers AMT (not regular income tax); NSO exercise creates ordinary income equal to spread; both are taxed at capital gains rates upon eventual sale if holding periods are met,Both ISO and NSO are taxed identically as ordinary income at exercise and capital gains at sale,ISOs are always tax-free; NSOs are always taxed at the highest marginal rate at exercise,NSOs trigger AMT; ISOs are treated as ordinary income at exercise — the reverse of actual tax treatment,A,ISO holding period: 2 years from grant + 1 year from exercise → favorable capital gains treatment on full gain. Exercising large ISO spreads in a single year can create devastating AMT liability — a common trap for startup employees at IPO.,core,4
3,"Debt, Taxes & Planning",1,What is the BEAT (Base Erosion and Anti-Abuse Tax) and how does it target multinational profit shifting?,BEAT imposes a minimum 10% tax on modified taxable income (adding back deductible payments to foreign affiliates) to prevent multinationals from reducing US income through related-party payments,BEAT is a 15% surtax on all foreign income earned by US multinationals regardless of transfer pricing,BEAT limits the deductibility of interest payments to foreign parent companies only,BEAT only applies to financial institutions and does not affect manufacturing multinationals,A,"BEAT (enacted by TCJA 2017) addresses base erosion: multinationals paying royalties, management fees, or interest to foreign affiliates can reduce US taxable income substantially. BEAT adds these back and applies a 10% minimum rate — reducing the benefit of profit-shifting structures.",core,4
3,"Debt, Taxes & Planning",1,What is student loan capitalization and how does it affect total repayment cost?,"Capitalization adds unpaid interest to the principal balance, meaning future interest accrues on a larger base — dramatically increasing total cost over the loan's life",Capitalization is a program that converts private student loans to federal loans for lower rates,Capitalization reduces the monthly payment by extending the loan term without changing total cost,Capitalization occurs when a student loan is refinanced at a lower interest rate,A,"Example: $50K loan, $10K unpaid interest capitalizes → new $60K principal at 7% = $4,200/year interest vs. $3,500/year. Over 20 years this compounds significantly. Paying interest during grace periods prevents capitalization.",core,5
3,"Debt, Taxes & Planning",1,What is the difference between a defined benefit and a defined contribution retirement plan?,"Defined benefit promises a specific retirement payout based on salary/years; defined contribution (e.g., 401k) has defined inputs but the output depends on investment performance","Both plan types guarantee specific payouts, differing only in how contributions are calculated",Defined contribution plans are only available to government employees; defined benefit plans for private sector,Defined benefit plans allow employees to choose investments; defined contribution plans do not,A,"DB plans (pensions) shift investment risk to the employer. DC plans (401k, 403b) shift it to the employee. The trend from DB to DC over 40 years has transferred enormous retirement risk to individuals — making investment literacy essential.",core,5
3,"Debt, Taxes & Planning",1,What is carried interest and why is its tax treatment controversial?,"Carried interest is the GP's share of fund profits (typically 20%), taxed at long-term capital gains rates rather than ordinary income — critics argue it's compensation for services and should be taxed as ordinary income","Carried interest is interest income earned on carry-on loans, taxed at 15% for financial institutions",Carried interest applies only to real estate investors and is taxed identically to rental income,"Carried interest is a management fee paid by LPs, deductible as a business expense for the fund",A,"PE and hedge fund managers receive 20% of profits as carried interest. If the fund holds assets >1 year, this is taxed at 20% + 3.8% NIIT rather than 37% ordinary income. The TCJA 2017 added a 3-year holding requirement for the preferential rate.",core,5
3,"Debt, Taxes & Planning",1,"What is the concept of 'basis' in real estate, how is it calculated, and why does it matter for tax planning?",Basis = purchase price + improvements − depreciation taken; it determines taxable gain (sale price − basis) and affects depreciation recapture (taxed at 25%) and capital gains calculations,Basis equals the current appraised value of the property for annual property tax purposes,Basis is the original purchase price that never changes regardless of improvements or depreciation,Basis only matters for commercial real estate; residential properties use a different calculation,A,"Depreciation reduces basis over time (residential: 27.5 years; commercial: 39 years). When sold, the accumulated depreciation is 'recaptured' at 25% — often the largest tax in real estate transactions. Tracking basis carefully is essential for accurate tax planning.",core,5
3,"Debt, Taxes & Planning",1,What is a qualified small business stock (QSBS) exclusion under Section 1202 and what are its requirements?,Investors in qualifying C-corps (assets <$50M at investment) can exclude up to 100% of capital gains (up to $10M or 10× basis) from federal tax if held for 5+ years — one of the most powerful tax benefits in the code,QSBS provides a 50% exclusion on gains from any small business stock held for 3+ years,"QSBS applies to S-corporations and LLCs, excluding C-corporations from the benefit",The exclusion is limited to $5M total per taxpayer regardless of the number of qualifying investments,A,"Post-2010 QSBS: 100% federal exclusion (some states conform, some don't — CA famously does not). Stacking: each investor gets the $10M exclusion, so a founding team can collectively exclude tens of millions. 'QSBS stacking' via gifts or trust transfers further multiplies the benefit.",core,5
